Site,Time Point,Live Hard Coral,Dead Coral,"Soft Coral, Fire Coral",Zoanthid,Other Invertebrates,Sponge,CCA,Other Algae,"Substrate (Rubble, sand)"
Almirante,T7,28,3,0,0,4,2,0,0,63
Almirante,T7,40,1,0,0,1,5,0,2,51
Almirante,T7,26,6,0,13,4,10,0,0,41
Almirante,T7,24,4,0,9,6,6,0,0,50
Almirante,T7,11,16,0,1,5,6,0,0,61
Almirante,T7,56,1,0,0,1,2,0,0,40
Almirante,T7,15,17,0,0,7,9,0,0,52
Almirante,T7,25,19,0,0,7,5,0,0,43
Almirante,T7,18,18,0,0,4,8,0,2,50
Almirante,T7,10,6,0,0,6,42,0,1,35
Almirante,T7,1,1,0,0,7,27,0,9,55
Almirante,T7,27,5,0,0,3,21,0,2,42
Almirante,T7,30,2,0,0,10,5,1,3,49
Almirante,T7,29,6,0,0,8,10,0,11,36
Almirante,T7,43,1,0,0,9,12,0,1,34
Almirante,T7,16,6,0,0,10,14,2,6,46
Almirante,T7,35,3,0,0,9,20,0,9,24
Almirante,T7,27,7,0,0,3,14,0,28,20
Almirante,T7,8,2,0,0,5,38,0,29,17
Caracol,T7,8,21,0,0,0,2,0,1,67
Caracol,T7,0,23,0,0,0,2,0,0,75
Caracol,T7,0,33,0,0,0,3,0,0,64
Caracol,T7,36,0,0,0,0,8,0,0,54
Caracol,T7,18,22,0,0,0,11,0,0,49
Caracol,T7,4,11,0,0,0,3,0,4,77
Caracol,T7,3,4,0,0,0,0,0,36,56
Caracol,T7,0,0,0,0,0,0,0,0,100
Caracol,T7,2,4,0,0,0,0,0,1,92
Caracol,T7,10,9,0,0,0,22,0,0,59
Caracol,T7,36,0,0,0,0,0,0,1,63
Cayo Roldan,T7,61,0,3,16,6,5,0,0,9
Cayo Roldan,T7,24,0,19,19,6,5,0,2,25
Cayo Roldan,T7,34,0,0,13,8,4,1,5,35
Cayo Roldan,T7,32,3,2,11,8,8,3,7,26
Cayo Roldan,T7,37,0,0,20,0,27,0,1,13
Cayo Roldan,T7,44,1,0,7,10,6,0,4,27
Cayo Roldan,T7,76,0,1,4,3,3,0,0,12
Cayo Roldan,T7,29,0,2,14,6,38,0,1,10
Cayo Roldan,T7,1,0,0,18,14,24,0,0,43
Cayo Roldan,T7,20,1,3,10,3,4,1,22,36
Cayo Roldan,T7,15,3,11,7,9,11,0,1,43
Coral Cay,T7,0,0,2,0,0,0,3,93,2
Coral Cay,T7,4,2,3,0,2,0,10,77,2
Coral Cay,T7,5,2,4,0,0,0,4,84,1
Coral Cay,T7,2,0,7,4,1,2,31,53,0
Coral Cay,T7,10,3,5,8,2,7,17,46,2
Coral Cay,T7,46,5,24,0,4,2,15,4,0
Coral Cay,T7,0,0,5,0,0,1,19,73,2
Coral Cay,T7,7,0,3,0,1,1,11,75,2
Coral Cay,T7,17,4,20,9,0,4,16,28,0
Coral Cay,T7,3,0,7,5,11,0,63,11,0
Coral Cay,T7,5,0,2,0,5,1,73,14,0
Hospital Point,T7,8,53,13,0,1,4,2,19,0
Hospital Point,T7,3,73,15,0,0,0,0,7,0
