Site,Time Point,Branching Porites Cover
Coral Cay,T3,0
Coral Cay,T3,4
Coral Cay,T3,0
Coral Cay,T3,0
Hospital Point,T3,4
Hospital Point,T3,2
Hospital Point,T3,63
Hospital Point,T3,0
Hospital Point,T3,17
Hospital Point,T3,2
Hospital Point,T3,4
Hospital Point,T3,0
Hospital Point,T3,3
Hospital Point,T3,5
Hospital Point,T3,0
Mainland,T3,8
Mainland,T3,24
Mainland,T3,11
Mainland,T3,34
Mainland,T3,12
Mainland,T3,30
Mainland,T3,0
Mainland,T3,3
Mainland,T3,0
Mainland,T3,19
Mainland,T3,51
Pastores,T3,0
Pastores,T3,0
Pastores,T3,4
Pastores,T3,1
Pastores,T3,1
Pastores,T3,0
Pastores,T3,0
Pastores,T3,0
Pastores,T3,0
Pastores,T3,2
Pastores,T3,0
Popa,T3,0
Popa,T3,10
Popa,T3,4
Popa,T3,2
Popa,T3,4
Popa,T3,4
Popa,T3,3
Popa,T3,0
Popa,T3,2
Popa,T3,0
Popa,T3,0
Punta Juan,T3,7
Punta Juan,T3,3
Punta Juan,T3,15
Punta Juan,T3,5
Punta Juan,T3,34
Punta Juan,T3,2
Punta Juan,T3,0
Punta Juan,T3,3
Punta Juan,T3,2
Punta Juan,T3,5
Punta Juan,T3,50
Salt Creek,T3,24
Salt Creek,T3,4
Salt Creek,T3,26
Salt Creek,T3,4
Salt Creek,T3,1
Salt Creek,T3,1
Salt Creek,T3,4
Salt Creek,T3,2
Salt Creek,T3,3
Salt Creek,T3,0
Salt Creek,T3,3
STRI,T3,0
STRI,T3,0
STRI,T3,0
STRI,T3,0
STRI,T3,0
STRI,T3,0
STRI,T3,0
STRI,T3,0
STRI,T3,0
STRI,T3,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,2
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,2
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Cayo Roldan,T7,55
Cayo Roldan,T7,21
Cayo Roldan,T7,29
Cayo Roldan,T7,25
Cayo Roldan,T7,34
Cayo Roldan,T7,41
Cayo Roldan,T7,76
Cayo Roldan,T7,28
Cayo Roldan,T7,1
Cayo Roldan,T7,3
Cayo Roldan,T7,5
Coral Cay,T7,0
Coral Cay,T7,3
Coral Cay,T7,0
Coral Cay,T7,0
Coral Cay,T7,0
Coral Cay,T7,0
Coral Cay,T7,0
Coral Cay,T7,0
Coral Cay,T7,3
Coral Cay,T7,0
Coral Cay,T7,0
Hospital Point,T7,1
Hospital Point,T7,0
Hospital Point,T7,91
Hospital Point,T7,0
Hospital Point,T7,19
Hospital Point,T7,0
Hospital Point,T7,0
Hospital Point,T7,0
Hospital Point,T7,5
Hospital Point,T7,14
Hospital Point,T7,0
Mainland,T7,1
Mainland,T7,0
Mainland,T7,2
Mainland,T7,13
Mainland,T7,0
Mainland,T7,28
Mainland,T7,0
Mainland,T7,0
Mainland,T7,0
Mainland,T7,0
Mainland,T7,61
Pastores,T7,0
Pastores,T7,0
Pastores,T7,3
Pastores,T7,0
Pastores,T7,3
Pastores,T7,0
Pastores,T7,0
Pastores,T7,1
Pastores,T7,0
Pastores,T7,1
Pastores,T7,2
Popa,T7,4
Popa,T7,0
Popa,T7,2
Popa,T7,0
Popa,T7,11
Popa,T7,7
Popa,T7,10
Popa,T7,0
Popa,T7,2
Popa,T7,5
Popa,T7,5
Punta Juan,T7,0
Punta Juan,T7,1
Punta Juan,T7,0
Punta Juan,T7,4
Punta Juan,T7,3
Punta Juan,T7,0
Punta Juan,T7,0
Punta Juan,T7,1
Punta Juan,T7,1
Punta Juan,T7,2
Punta Juan,T7,2
Salt Creek,T7,4
Salt Creek,T7,19
Salt Creek,T7,3
Salt Creek,T7,16
Salt Creek,T7,1
Salt Creek,T7,1
Salt Creek,T7,0
Salt Creek,T7,1
Salt Creek,T7,9
Salt Creek,T7,33
Salt Creek,T7,38
STRI,T7,1
STRI,T7,19
STRI,T7,1
STRI,T7,0
STRI,T7,0
STRI,T7,1
STRI,T7,0
STRI,T7,11
STRI,T7,0
STRI,T7,1
