Site,Time Point,Porites Cover
Salt Creek,T6,4
Salt Creek,T6,4
Salt Creek,T6,4
Salt Creek,T6,2
Salt Creek,T6,4
Salt Creek,T6,8
Salt Creek,T6,2
STRI,T6,0
STRI,T6,0
STRI,T6,0
STRI,T6,0
STRI,T6,2
STRI,T6,0
STRI,T6,0
STRI,T6,0
STRI,T6,0
STRI,T6,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,2
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,2
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Almirante,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Caracol,T7,0
Cayo Roldan,T7,58
Cayo Roldan,T7,21
Cayo Roldan,T7,30
Cayo Roldan,T7,25
Cayo Roldan,T7,34
Cayo Roldan,T7,41
Cayo Roldan,T7,76
Cayo Roldan,T7,28
Cayo Roldan,T7,1
Cayo Roldan,T7,3
Cayo Roldan,T7,5
Coral Cay,T7,0
Coral Cay,T7,3
Coral Cay,T7,3
Coral Cay,T7,2
Coral Cay,T7,1
Coral Cay,T7,0
Coral Cay,T7,0
Coral Cay,T7,0
Coral Cay,T7,3
Coral Cay,T7,0
Coral Cay,T7,0
Hospital Point,T7,6
Hospital Point,T7,0
Hospital Point,T7,91
Hospital Point,T7,4
Hospital Point,T7,22
Hospital Point,T7,5
Hospital Point,T7,3
Hospital Point,T7,2
Hospital Point,T7,5
Hospital Point,T7,17
Hospital Point,T7,0
Mainland,T7,1
Mainland,T7,0
Mainland,T7,2
Mainland,T7,13
Mainland,T7,0
Mainland,T7,28
Mainland,T7,0
Mainland,T7,0
Mainland,T7,0
Mainland,T7,0
Mainland,T7,61
Pastores,T7,0
Pastores,T7,0
Pastores,T7,3
Pastores,T7,0
Pastores,T7,3
Pastores,T7,0
Pastores,T7,0
Pastores,T7,1
Pastores,T7,0
Pastores,T7,1
Pastores,T7,2
Popa,T7,6
Popa,T7,2
Popa,T7,7
Popa,T7,3
Popa,T7,12
Popa,T7,9
Popa,T7,13
Popa,T7,4
Popa,T7,3
Popa,T7,12
Popa,T7,8
Punta Juan,T7,4
Punta Juan,T7,7
Punta Juan,T7,0
Punta Juan,T7,7
Punta Juan,T7,3
Punta Juan,T7,3
Punta Juan,T7,3
Punta Juan,T7,2
Punta Juan,T7,2
Punta Juan,T7,4
Punta Juan,T7,5
Salt Creek,T7,4
Salt Creek,T7,20
Salt Creek,T7,3
Salt Creek,T7,18
